ImagePath,ValidationValue,camera
2017_SBU4_01270001,0,SBU4
2017_SBU4_01270002,0,SBU4
2017_SBU4_01270003,0,SBU4
2017_SBU4_01270004,0,SBU4
2017_SBU4_01270005,0,SBU4
2017_SBU4_01270006,0,SBU4
2017_SBU4_01270007,0,SBU4
2017_SBU4_01280069,0,SBU4
2017_SBU4_01280070,4,SBU4
2017_SBU4_01280071,0,SBU4
2017_SBU4_01280072,0,SBU4
2017_SBU4_01280073,2,SBU4
2017_SBU4_01280074,2,SBU4
2017_SBU4_01280075,1,SBU4
2017_SBU4_01280076,0,SBU4
2017_SBU4_01280077,0,SBU4
2017_SBU4_01280078,0,SBU4
2017_SBU4_01280079,0,SBU4
2017_SBU4_01280080,0,SBU4
2017_SBU4_01280081,0,SBU4
2017_SBU4_01280082,0,SBU4
2017_SBU4_01280083,0,SBU4
2017_SBU4_01280084,0,SBU4
2017_SBU4_01280085,0,SBU4
2017_SBU4_01280086,0,SBU4
2017_SBU4_01280087,0,SBU4
2017_SBU4_01280088,0,SBU4
2017_SBU4_01280089,0,SBU4
2017_SBU4_01280090,0,SBU4
2017_SBU4_01280091,0,SBU4
2017_SBU4_01280092,0,SBU4
2017_SBU4_01280093,0,SBU4
2017_SBU4_01280094,0,SBU4
2017_SBU4_01280095,0,SBU4
2017_SBU4_01280096,0,SBU4
2017_SBU4_01280097,0,SBU4
2017_SBU4_01280098,0,SBU4
2017_SBU4_01280099,0,SBU4
2017_SBU4_01280100,0,SBU4
2017_SBU4_01280101,0,SBU4
2017_SBU4_01280102,0,SBU4
2017_SBU4_01280103,0,SBU4
2017_SBU4_01280104,0,SBU4
2017_SBU4_01280105,1,SBU4
2017_SBU4_01280106,0,SBU4
2017_SBU4_01280107,0,SBU4
2017_SBU4_01280108,0,SBU4
2017_SBU4_01280109,0,SBU4
2017_SBU4_01280110,0,SBU4
2017_SBU4_01290169,2,SBU4
2017_SBU4_01290170,2,SBU4
2017_SBU4_01290171,1,SBU4
2017_SBU4_01290172,0,SBU4
2017_SBU4_01290173,0,SBU4
2017_SBU4_01290174,0,SBU4
2017_SBU4_01290175,0,SBU4
2017_SBU4_01290176,0,SBU4
2017_SBU4_01290177,0,SBU4
2017_SBU4_01290178,0,SBU4
2017_SBU4_01290179,0,SBU4
2017_SBU4_01290180,0,SBU4
2017_SBU4_01290181,0,SBU4
2017_SBU4_01290182,0,SBU4
2017_SBU4_01290183,0,SBU4
2017_SBU4_01290184,0,SBU4
2017_SBU4_01290185,0,SBU4
2017_SBU4_01290186,0,SBU4
2017_SBU4_01290187,0,SBU4
2017_SBU4_01290188,0,SBU4
2017_SBU4_01290189,0,SBU4
2017_SBU4_01290190,0,SBU4
2017_SBU4_01290191,0,SBU4
2017_SBU4_01290192,0,SBU4
2017_SBU4_01290193,0,SBU4
2017_SBU4_01290194,4,SBU4
2017_SBU4_01290195,4,SBU4
2017_SBU4_01290196,4,SBU4
2017_SBU4_01290197,4,SBU4
2017_SBU4_01290198,4,SBU4
2017_SBU4_01290199,4,SBU4
2017_SBU4_01290200,4,SBU4
2017_SBU4_01290201,4,SBU4
2017_SBU4_01290202,4,SBU4
2017_SBU4_01290203,4,SBU4
2017_SBU4_01290204,4,SBU4
2017_SBU4_01290205,0,SBU4
2017_SBU4_01290206,0,SBU4
2017_SBU4_01290207,0,SBU4
2017_SBU4_01290208,0,SBU4
2017_SBU4_01300269,0,SBU4
2017_SBU4_01300270,0,SBU4
2017_SBU4_01300271,0,SBU4
2017_SBU4_01300272,0,SBU4
2017_SBU4_01300273,0,SBU4
2017_SBU4_01300274,0,SBU4
2017_SBU4_01300275,0,SBU4
2017_SBU4_01300276,0,SBU4
2017_SBU4_01300277,0,SBU4
2017_SBU4_01300278,0,SBU4
2017_SBU4_01300279,0,SBU4
2017_SBU4_01300280,0,SBU4
2017_SBU4_01300281,0,SBU4
2017_SBU4_01300282,0,SBU4
2017_SBU4_01300283,0,SBU4
2017_SBU4_01300284,0,SBU4
2017_SBU4_01300285,0,SBU4
2017_SBU4_01300286,0,SBU4
2017_SBU4_01300287,0,SBU4
2017_SBU4_01300288,0,SBU4
2017_SBU4_01300289,0,SBU4
2017_SBU4_01300290,0,SBU4
2017_SBU4_01300291,0,SBU4
2017_SBU4_01300292,0,SBU4
2017_SBU4_01300293,0,SBU4
2017_SBU4_01300294,0,SBU4
2017_SBU4_01300295,0,SBU4
2017_SBU4_01300296,0,SBU4
2017_SBU4_01300297,0,SBU4
2017_SBU4_01300298,0,SBU4
2017_SBU4_01300299,0,SBU4
2017_SBU4_01300300,0,SBU4
2017_SBU4_01300301,0,SBU4
2017_SBU4_01300302,0,SBU4
2017_SBU4_01300303,0,SBU4
2017_SBU4_01300304,0,SBU4
2017_SBU4_01300305,0,SBU4
2017_SBU4_01310376,1,SBU4
2017_SBU4_01310377,1,SBU4
2017_SBU4_01310378,0,SBU4
2017_SBU4_01310379,0,SBU4
2017_SBU4_01310380,0,SBU4
2017_SBU4_01310381,0,SBU4
2017_SBU4_01310382,0,SBU4
2017_SBU4_01310383,0,SBU4
2017_SBU4_01310384,0,SBU4
2017_SBU4_01310385,0,SBU4
2017_SBU4_01310386,0,SBU4
2017_SBU4_01310387,0,SBU4
2017_SBU4_01310388,0,SBU4
2017_SBU4_01310389,0,SBU4
2017_SBU4_01310390,0,SBU4
2017_SBU4_01310391,0,SBU4
2017_SBU4_01310392,0,SBU4
2017_SBU4_01310393,0,SBU4
2017_SBU4_01310394,0,SBU4
2017_SBU4_01310395,0,SBU4
2017_SBU4_01310396,0,SBU4
2017_SBU4_01310397,0,SBU4
2017_SBU4_01310398,0,SBU4
2017_SBU4_01310399,0,SBU4
2017_SBU4_01310400,0,SBU4
2017_SBU4_01310401,0,SBU4
2017_SBU4_01310402,0,SBU4
2017_SBU4_01310403,0,SBU4
2017_SBU4_01310404,0,SBU4
2017_SBU4_01310405,0,SBU4
2017_SBU4_01310406,0,SBU4
2017_SBU4_01310407,0,SBU4
2017_SBU4_01310408,0,SBU4
2017_SBU4_01310409,0,SBU4
