Unnamed: 0,ImagePath,ValidationValue,camera
,2017_PSU2_06100427,1,PSU2
,2017_PSU2_04200369,1,PSU2
,2017_PSU2_04130740,2,PSU2
,2017_PSU2_05120545,2,PSU2
,2017_PSU2_04070143,2,PSU2
,2017_PSU2_04070119,1,PSU2
,2017_PSU2_04130739,1,PSU2
,2017_PSU2_05120544,1,PSU2
,2017_PSU2_06100428,1,PSU2
,2017_PSU2_04070120,0,PSU2
,2017_PSU2_02250404,0,PSU2
,2017_PSU2_04040864,0,PSU2
,2017_PSU2_02160569,0,PSU2
,2017_PSU2_04190283,0,PSU2
,2017_PSU2_04110519,0,PSU2
,2017_PSU2_02250406,0,PSU2
,2017_PSU2_04040867,0,PSU2
,2017_PSU2_02160570,0,PSU2
,2017_PSU2_04190288,0,PSU2
,2017_PSU2_04110523,0,PSU2
,2017_PSU2_02250408,0,PSU2
,2017_PSU2_04050915,0,PSU2
,2017_PSU2_02160571,0,PSU2
,2017_PSU2_04190293,0,PSU2
,2017_PSU2_04110527,0,PSU2
,2017_PSU2_02250410,0,PSU2
,2017_PSU2_04050918,0,PSU2
,2017_PSU2_02160572,0,PSU2
,2017_PSU2_04190298,0,PSU2
,2017_PSU2_04110531,0,PSU2
,2017_PSU2_02250412,0,PSU2
,2017_PSU2_04050921,0,PSU2
,2017_PSU2_02160573,0,PSU2
,2017_PSU2_04190303,0,PSU2
,2017_PSU2_04110535,0,PSU2
