epoch,train_loss,step,val_loss
0,63250.44921875,1,
0,31936.845703125,3,
0,39079.5703125,5,
0,36282.18359375,7,
0,20654.31640625,9,
0,23305.9609375,11,
0,20480.498046875,13,
0,22390.6796875,15,
0,20727.2109375,17,
0,20731.158203125,19,
0,19594.3515625,21,
0,18298.609375,23,
0,20675.984375,25,
0,21828.34765625,27,
0,19666.3671875,29,
0,18190.46875,31,
0,21905.11328125,33,
0,17284.630859375,35,
0,18800.587890625,37,
0,18289.87109375,39,
0,24738.3203125,41,
0,20399.17578125,43,
0,19407.67578125,45,
0,20990.671875,47,
0,21277.435546875,49,
0,20691.8203125,51,
0,20730.275390625,53,
0,18316.18359375,55,
0,17054.166015625,57,
0,17798.455078125,59,
0,16679.41015625,61,
0,14335.1162109375,63,
0,17965.47265625,65,
0,11797.6357421875,67,
0,19651.537109375,69,
0,14539.87109375,71,
0,14193.88671875,73,
0,14854.41015625,75,
0,13752.609375,77,
0,19338.373046875,79,
0,14587.916015625,81,
0,18098.0859375,83,
0,15892.8310546875,85,
0,15210.33203125,87,
0,13312.8349609375,89,
0,15294.48828125,91,
0,18563.40234375,93,
0,14641.87109375,95,
0,14115.201171875,97,
0,13346.005859375,99,
0,13717.203125,101,
0,11795.181640625,103,
0,19016.09375,105,
0,12135.5419921875,107,
0,15261.3232421875,109,
0,15532.263671875,111,
0,13207.5791015625,113,
0,17165.7734375,115,
0,14042.4462890625,117,
0,14137.40625,119,
0,14120.7216796875,121,
0,14525.720703125,123,
0,14573.9130859375,125,
0,11850.763671875,127,
0,14808.5869140625,129,
0,15537.5419921875,131,
0,13058.873046875,133,
0,12307.982421875,135,
0,14477.333984375,137,
0,11987.8935546875,139,
0,19535.20703125,141,
0,13417.494140625,143,
0,14346.287109375,145,
0,13853.5146484375,147,
0,12789.4033203125,149,
0,17166.16796875,151,
0,11757.859375,153,
0,15480.2275390625,155,
0,12284.509765625,157,
0,11699.568359375,159,
0,11919.9013671875,161,
0,14021.9990234375,163,
0,14119.455078125,165,
0,12203.087890625,167,
0,13327.1298828125,169,
0,14670.92578125,171,
0,12757.478515625,173,
0,13867.021484375,175,
0,12229.79296875,177,
0,12257.4453125,179,
0,12583.904296875,181,
0,11773.490234375,183,
0,13544.404296875,185,
0,14668.642578125,187,
0,10249.5546875,189,
0,14008.14453125,191,
0,10525.3203125,193,
0,9609.169921875,195,
0,13854.1416015625,197,
0,13894.515625,199,
0,11692.19140625,201,
0,10512.1396484375,203,
0,11391.4052734375,205,
0,10996.5322265625,207,
