step,train_loss,epoch,val_loss
1,81874.921875,0,
3,67353.5625,0,
5,61788.390625,0,
7,55347.390625,0,
9,54224.3046875,0,
11,47751.90625,0,
13,53246.9609375,0,
15,45801.6328125,0,
17,43048.9609375,0,
19,34459.08203125,0,
21,30646.68359375,0,
23,29079.947265625,0,
25,29846.5234375,0,
27,28492.22265625,0,
29,27158.953125,0,
31,26177.05078125,0,
33,24339.58203125,0,
35,23659.537109375,0,
37,21352.33984375,0,
39,23105.2890625,0,
41,23038.2265625,0,
43,21664.505859375,0,
45,20398.1640625,0,
47,22000.9296875,0,
49,21165.8203125,0,
51,19101.541015625,0,
53,20352.31640625,0,
55,17374.005859375,0,
57,16398.5625,0,
59,17188.416015625,0,
61,16565.96484375,0,
63,14616.6884765625,0,
65,16433.171875,0,
67,11933.283203125,0,
69,18711.01171875,0,
71,14410.6484375,0,
73,13880.037109375,0,
75,14528.5478515625,0,
77,13883.763671875,0,
79,17994.71875,0,
81,14013.30859375,0,
83,17578.20703125,0,
85,15447.2705078125,0,
87,14576.267578125,0,
89,13444.0234375,0,
91,14940.390625,0,
93,18289.05078125,0,
95,15098.330078125,0,
97,13121.439453125,0,
99,13396.642578125,0,
101,13383.060546875,0,
103,12263.91796875,0,
105,18255.8984375,0,
107,12025.099609375,0,
109,15563.93359375,0,
111,14683.48828125,0,
113,13587.318359375,0,
115,16154.603515625,0,
117,14685.634765625,0,
119,15108.439453125,0,
121,15809.3076171875,0,
123,13557.646484375,0,
125,14819.314453125,0,
127,12096.564453125,0,
129,14812.0654296875,0,
131,15821.8125,0,
133,13388.091796875,0,
135,12002.3125,0,
137,14397.8017578125,0,
139,12747.2841796875,0,
141,18113.32421875,0,
143,14110.255859375,0,
145,16068.6796875,0,
147,15806.2958984375,0,
149,12489.0390625,0,
151,18459.6171875,0,
153,12944.4873046875,0,
155,15511.318359375,0,
157,13290.876953125,0,
159,12918.9296875,0,
161,12091.3017578125,0,
163,15561.91015625,0,
165,14906.13671875,0,
167,12938.7919921875,0,
169,11246.390625,0,
171,15640.03515625,0,
173,13642.8154296875,0,
175,14633.951171875,0,
177,13498.951171875,0,
179,13042.408203125,0,
181,11375.5380859375,0,
183,13562.1484375,0,
185,14750.8642578125,0,
187,14287.4580078125,0,
189,10970.53515625,0,
191,15403.4541015625,0,
193,11774.240234375,0,
195,10344.9013671875,0,
197,15807.4833984375,0,
199,13929.619140625,0,
201,12478.859375,0,
203,10126.302734375,0,
205,12245.1787109375,0,
207,11528.9873046875,0,
209,15938.2392578125,0,
211,14832.1513671875,0,
213,12792.7109375,0,
215,12019.935546875,0,
217,12429.5048828125,0,
219,13860.0361328125,0,
221,11670.396484375,0,
223,12775.5146484375,0,
225,12732.720703125,0,
227,9356.09765625,0,
229,13842.568359375,0,
231,12819.4990234375,0,
233,15912.5283203125,0,
235,10960.90234375,0,
237,10786.275390625,0,
239,13467.400390625,0,
241,14325.4345703125,0,
