epoch,train_loss,step
0,0.5124757885932922,0
0,0.41622495651245117,1
0,0.2463517189025879,2
0,0.15347273647785187,3
0,0.10246524959802628,4
0,0.08008463680744171,5
0,0.06653830409049988,6
0,0.0557522177696228,7
0,0.06913342326879501,8
0,0.06400108337402344,9
0,0.054480116814374924,10
0,0.0673302412033081,11
0,0.04814256355166435,12
0,0.056053925305604935,13
0,0.07043444365262985,14
0,0.04530428349971771,15
0,0.04758358374238014,16
0,0.040352750569581985,17
0,0.0450577549636364,18
0,0.04788829758763313,19
