epoch,train_loss,step,val_loss
0,59013.10546875,1,
0,30421.8984375,3,
0,33317.9375,5,
0,30531.1953125,7,
0,19658.2890625,9,
0,20124.0078125,11,
0,20160.515625,13,
0,21424.978515625,15,
0,17764.66796875,17,
0,24014.78515625,19,
0,19614.3984375,21,
0,18630.578125,23,
0,22740.9609375,25,
0,22188.734375,27,
0,20383.2734375,29,
0,17098.54296875,31,
0,21139.3515625,33,
0,16781.4609375,35,
0,18395.22265625,37,
0,18625.45703125,39,
0,21367.216796875,41,
0,20766.375,43,
0,18086.40625,45,
0,20841.462890625,47,
0,20777.314453125,49,
0,18933.41796875,51,
0,19114.2734375,53,
0,17553.6796875,55,
0,15112.099609375,57,
0,17136.25,59,
0,16751.048828125,61,
0,12439.986328125,63,
0,17888.4609375,65,
0,11859.12109375,67,
0,18461.45703125,69,
0,14204.9111328125,71,
0,14119.779296875,73,
0,15322.705078125,75,
0,13641.408203125,77,
0,17959.830078125,79,
0,14476.8125,81,
0,17894.53125,83,
0,15566.912109375,85,
0,14634.453125,87,
0,13528.7099609375,89,
0,15515.287109375,91,
0,18563.701171875,93,
0,15587.3818359375,95,
0,13128.533203125,97,
0,13101.58203125,99,
0,13906.8828125,101,
0,12271.8759765625,103,
0,18112.88671875,105,
0,12431.572265625,107,
0,15749.1298828125,109,
0,16063.1689453125,111,
0,14344.4609375,113,
0,15962.5888671875,115,
0,14438.9013671875,117,
0,14911.40234375,119,
0,15407.5146484375,121,
0,14243.169921875,123,
0,16162.546875,125,
0,11867.16015625,127,
0,15063.064453125,129,
0,15900.5400390625,131,
0,13541.197265625,133,
0,12220.375,135,
0,13424.54296875,137,
0,12917.8828125,139,
0,17683.14453125,141,
0,14217.1962890625,143,
0,16165.150390625,145,
0,15550.314453125,147,
0,13198.423828125,149,
0,18567.984375,151,
0,12884.8681640625,153,
0,15810.1328125,155,
0,12215.501953125,157,
0,12723.5185546875,159,
0,11602.0625,161,
0,14347.2421875,163,
0,15792.0361328125,165,
0,13121.8388671875,167,
0,11856.3740234375,169,
0,16148.662109375,171,
0,12796.056640625,173,
0,13583.599609375,175,
0,13422.95703125,177,
0,12554.46484375,179,
0,10766.3056640625,181,
0,12683.4736328125,183,
0,13770.046875,185,
0,14434.2216796875,187,
0,10375.4130859375,189,
0,13837.318359375,191,
0,11319.830078125,193,
0,9777.451171875,195,
0,13180.861328125,197,
0,13854.4140625,199,
0,10944.7177734375,201,
0,9905.22265625,203,
0,12015.962890625,205,
0,11613.0673828125,207,
0,14071.2353515625,209,
0,13128.642578125,211,
0,11754.607421875,213,
0,10506.5615234375,215,
0,11464.560546875,217,
0,12090.841796875,219,
0,11740.107421875,221,
0,11111.439453125,223,
0,11792.310546875,225,
0,8533.2685546875,227,
0,12126.673828125,229,
0,11286.4697265625,231,
0,13475.927734375,233,
0,10557.9501953125,235,
0,9575.55859375,237,
0,12253.45703125,239,
0,12905.453125,241,
0,9821.9208984375,243,
0,10261.3759765625,245,
0,9858.4033203125,247,
0,11456.041015625,249,
0,9555.8486328125,251,
0,9060.5390625,253,
0,9814.806640625,255,
0,8820.56640625,257,
0,12704.716796875,259,
0,13287.4091796875,261,
0,13092.228515625,263,
0,11538.7099609375,265,
0,10555.314453125,267,
0,8794.703125,269,
0,9602.38671875,271,
0,12316.83984375,273,
0,11169.525390625,275,
0,10814.9677734375,277,
0,15314.7451171875,279,
0,12958.0078125,281,
0,9740.3330078125,283,
0,11119.080078125,285,
0,12605.634765625,287,
0,9389.4091796875,289,
0,9562.291015625,291,
0,13880.53515625,293,
0,11384.70703125,295,
0,11258.1328125,297,
0,8437.5888671875,299,
0,12670.978515625,301,
0,9522.8642578125,303,
0,12120.8056640625,305,
