,Unnamed: 0,cam,ImagePath,badImage,motion,grayscale
0,0.0,4.65730888408935e-310,0.0,0.0,0.0,2.37e-322
1,1.0,15.0,2017_SBU4_03040730,False,False,False
2,2.0,15.0,2017_SBU4_02060982,False,False,False
3,3.0,15.0,2017_SBU4_04210774,False,True,False
4,4.0,15.0,2017_SBU4_06300356,False,False,False
5,5.0,15.0,2017_SBU4_06180091,False,True,False
6,6.0,15.0,2017_SBU4_06210553,False,False,False
7,7.0,15.0,2017_SBU4_04100584,False,False,True
8,8.0,15.0,2017_SBU4_03080206,False,False,True
9,9.0,15.0,2017_SBU4_03050786,False,False,True
10,10.0,15.0,2017_SBU4_07030635,False,False,True
11,11.0,15.0,2017_SBU4_06180121,False,True,False
12,12.0,15.0,2017_SBU4_03290378,False,False,True
13,13.0,15.0,2017_SBU4_07060977,False,False,False
14,14.0,15.0,2017_SBU4_05060345,False,False,True
15,15.0,15.0,2017_SBU4_02120598,False,False,False
16,16.0,15.0,2017_SBU4_05270184,False,False,True
17,17.0,15.0,2017_SBU4_07030718,False,False,True
18,18.0,15.0,2017_SBU4_06040129,False,False,False
19,19.0,15.0,2017_SBU4_02080151,False,False,True
20,20.0,15.0,2017_SBU4_03150922,False,False,False
21,21.0,15.0,2017_SBU4_02240793,False,False,True
22,22.0,15.0,2017_SBU4_04150181,False,False,True
23,23.0,15.0,2017_SBU4_05300909,False,True,False
24,24.0,15.0,2017_SBU4_04050107,False,False,False
25,25.0,15.0,2017_SBU4_05020968,False,False,False
26,26.0,15.0,2017_SBU4_04010714,False,False,True
27,27.0,15.0,2017_SBU4_07170479,False,True,False
28,28.0,15.0,2017_SBU4_03010430,False,False,True
29,29.0,15.0,2017_SBU4_04120864,False,False,True
30,30.0,15.0,2017_SBU4_05180775,False,False,False
31,31.0,15.0,2017_SBU4_06290275,False,False,False
32,32.0,15.0,2017_SBU4_05310175,False,True,False
33,33.0,15.0,2017_SBU4_06270012,False,False,False
34,34.0,15.0,2017_SBU4_04210772,False,False,False
35,35.0,15.0,2017_SBU4_03260006,False,False,True
36,36.0,15.0,2017_SBU4_07100405,False,False,True
37,37.0,15.0,2017_SBU4_06300351,False,False,False
38,38.0,15.0,2017_SBU4_02180181,False,False,True
39,39.0,15.0,2017_SBU4_06260249,False,False,False
40,40.0,15.0,2017_SBU4_05140398,False,False,True
41,41.0,15.0,2017_SBU4_04170305,False,False,True
42,42.0,15.0,2017_SBU4_05260157,False,False,False
43,43.0,15.0,2017_SBU4_03190277,False,False,True
