train_loss,epoch,step,val_loss,tst_loss
62576.2421875,0,1,,
50395.1484375,0,3,,
54236.4921875,0,5,,
33882.3046875,0,7,,
36452.7890625,0,9,,
32137.416015625,0,11,,
25616.41015625,0,13,,
31315.80078125,0,15,,
34100.828125,0,17,,
30005.916015625,0,19,,
36003.02734375,0,21,,
38585.3515625,0,23,,
30567.78125,0,25,,
21841.63671875,0,27,,
28591.69921875,0,29,,
23052.771484375,0,31,,
30226.9921875,0,33,,
29328.130859375,0,35,,
29527.71875,0,37,,
24756.642578125,0,39,,
25968.8671875,0,41,,
32278.4375,0,43,,
30550.765625,0,45,,
22069.0078125,0,47,,
23207.671875,0,49,,
19496.294921875,0,51,,
22214.828125,0,53,,
23421.3828125,0,55,,
22602.212890625,0,57,,
19059.640625,0,59,,
20498.908203125,0,61,,
24122.0,0,63,,
22356.935546875,0,65,,
26575.662109375,0,67,,
20504.23046875,0,69,,
22563.08203125,0,71,,
24433.966796875,0,73,,
18421.91015625,0,75,,
20189.4140625,0,77,,
19781.740234375,0,79,,
19365.298828125,0,81,,
22336.326171875,0,83,,
28090.640625,0,85,,
27190.30859375,0,87,,
21670.236328125,0,89,,
26344.080078125,0,91,,
19187.97265625,0,93,,
19442.16015625,0,95,,
16269.533203125,0,97,,
18431.5,0,99,,
25249.578125,0,101,,
15997.314453125,0,103,,
19856.287109375,0,105,,
20674.96875,0,107,,
19741.3984375,0,109,,
21678.86328125,0,111,,
18561.87109375,0,113,,
22262.263671875,0,115,,
14952.4169921875,0,117,,
11296.33984375,0,119,,
38660.6328125,0,121,,
30926.990234375,0,123,,
22958.0390625,0,125,,
21941.431640625,0,127,,
24680.126953125,0,129,,
30359.61328125,0,131,,
20455.794921875,0,133,,
24489.921875,0,135,,
16472.630859375,0,137,,
14910.908203125,0,139,,
30049.828125,0,141,,
15010.9873046875,0,143,,
18323.224609375,0,145,,
19076.20703125,0,147,,
15364.5869140625,0,149,,
18807.90234375,0,151,,
20548.62890625,0,153,,
16689.20703125,0,155,,
16942.66796875,0,157,,
13945.029296875,0,159,,
29135.041015625,0,161,,
18557.71875,0,163,,
17434.015625,0,165,,
17545.537109375,0,167,,
16794.859375,0,169,,
16064.759765625,0,171,,
32176.849609375,0,173,,
17932.03125,0,175,,
14763.1513671875,0,177,,
17995.314453125,0,179,,
18400.888671875,0,181,,
14720.998046875,0,183,,
21152.140625,0,185,,
35947.5234375,0,187,,
14258.029296875,0,189,,
16263.408203125,0,191,,
15014.7275390625,0,193,,
18433.55859375,0,195,,
26734.5078125,0,197,,
16833.0703125,0,199,,
15445.4072265625,0,201,,
28001.99609375,0,203,,
24965.404296875,0,205,,
18815.626953125,0,207,,
18202.890625,0,209,,
16054.64453125,0,211,,
15341.884765625,0,213,,
16497.51953125,0,215,,
12315.666015625,0,217,,
20681.744140625,0,219,,
16565.759765625,0,221,,
18693.3359375,0,223,,
15566.701171875,0,225,,
16608.248046875,0,227,,
12437.828125,0,229,,
13084.740234375,0,231,,
13838.7880859375,0,233,,
17139.9765625,0,235,,
15582.283203125,0,237,,
12812.8779296875,0,239,,
12689.63671875,0,241,,
23641.28515625,0,243,,
18480.58203125,0,245,,
13978.58984375,0,247,,
11729.25,0,249,,
14974.865234375,0,251,,
14001.078125,0,253,,
13609.8193359375,0,255,,
17466.26953125,0,257,,
14263.369140625,0,259,,
25653.4765625,0,261,,
22185.4921875,0,263,,
15602.40625,0,265,,
14561.619140625,0,267,,
24251.10546875,0,269,,
12535.8642578125,0,271,,
28137.5390625,0,273,,
15874.83203125,0,275,,
11943.59765625,0,277,,
17220.458984375,0,279,,
17467.357421875,0,281,,
14986.7548828125,0,283,,
12856.8671875,0,285,,
15949.34375,0,287,,
20134.181640625,0,289,,
10737.96875,0,291,,
13911.578125,0,293,,
14105.248046875,0,295,,
12586.76171875,0,297,,
13528.587890625,0,299,,
19220.515625,0,301,,
10101.119140625,0,303,,
11804.2939453125,0,305,,
10080.2109375,0,307,,
15574.4033203125,0,309,,
10780.509765625,0,311,,
13510.16015625,0,313,,
13105.42578125,0,315,,
10529.07421875,0,317,,
14840.048828125,0,319,,
15264.888671875,0,321,,
19054.9453125,0,323,,
16448.125,0,325,,
12992.98046875,0,327,,
24481.115234375,0,329,,
18334.875,0,331,,
18722.7578125,0,333,,
15223.619140625,0,335,,
16442.779296875,0,337,,
17284.81640625,0,339,,
12114.78515625,0,341,,
15805.8232421875,0,343,,
18047.06640625,0,345,,
15185.8857421875,0,347,,
13883.875,0,349,,
13038.9296875,0,351,,
11115.041015625,0,353,,
14726.466796875,0,355,,
15158.2080078125,0,357,,
14070.2548828125,0,359,,
9595.3486328125,0,361,,
11924.74609375,0,363,,
12991.1416015625,0,365,,
10413.220703125,0,367,,
17019.8359375,0,369,,
19484.796875,0,371,,
12617.2880859375,0,373,,
17115.49609375,0,375,,
16971.265625,0,377,,
15106.6328125,0,379,,
13959.9658203125,0,381,,
14531.2705078125,0,383,,
10341.9775390625,0,385,,
14142.619140625,0,387,,
12037.7509765625,0,389,,
12329.55859375,0,391,,
10394.4140625,0,393,,
13183.85546875,0,395,,
12675.6474609375,0,397,,
12829.57421875,0,399,,
10226.1171875,0,401,,
20780.09375,0,403,,
12302.0078125,0,405,,
11372.7138671875,0,407,,
25901.052734375,0,409,,
15673.16796875,0,411,,
17460.984375,0,413,,
13383.947265625,0,415,,
18897.984375,0,417,,
17297.26171875,0,419,,
7817.3232421875,0,421,,
13823.994140625,0,423,,
14193.8212890625,0,425,,
11627.138671875,0,427,,
13568.826171875,0,429,,
9929.900390625,0,431,,
11645.927734375,0,433,,
9150.419921875,0,435,,
14295.6015625,0,437,,
11007.896484375,0,439,,
11462.15625,0,441,,
