train_loss,train_acc,step,epoch,val_loss,val_acc,tst_acc,tst_loss
0.6912908554077148,0.5625,0,0,,,,
0.7065836787223816,0.4375,1,0,,,,
0.6654599905014038,0.6875,2,0,,,,
0.6960956454277039,0.5,3,0,,,,
0.6971657276153564,0.5,4,0,,,,
0.7050937414169312,0.4375,5,0,,,,
0.6954454183578491,0.5,6,0,,,,
0.6993792057037354,0.4375,7,0,,,,
0.6936671733856201,0.5,8,0,,,,
0.699796199798584,0.3125,9,0,,,,
0.692854642868042,0.5625,10,0,,,,
0.6927493214607239,0.5,11,0,,,,
0.6904955506324768,0.625,12,0,,,,
0.6932628154754639,0.5,13,0,,,,
0.6859937906265259,0.6875,14,0,,,,
0.6896330118179321,0.5625,15,0,,,,
0.6728135347366333,0.75,16,0,,,,
0.6951299905776978,0.5,17,0,,,,
0.649803876876831,0.8125,18,0,,,,
0.7209838628768921,0.375,19,0,,,,
0.7111305594444275,0.4375,20,0,,,,
0.747689425945282,0.25,21,0,,,,
0.7297422885894775,0.3125,22,0,,,,
0.6783965826034546,0.625,23,0,,,,
0.7007559537887573,0.4375,24,0,,,,
0.7015045881271362,0.375,25,0,,,,
0.6908584833145142,0.625,26,0,,,,
0.691479504108429,0.5625,27,0,,,,
0.6982566714286804,0.4375,28,0,,,,
0.6871613264083862,0.5625,29,0,,,,
0.7136249542236328,0.375,30,0,,,,
0.707085371017456,0.4375,31,0,,,,
0.6970265507698059,0.5,32,0,,,,
0.6658804416656494,0.6875,33,0,,,,
0.676192045211792,0.625,34,0,,,,
0.687653660774231,0.5625,35,0,,,,
0.7274879217147827,0.25,36,0,,,,
0.6941484212875366,0.5,37,0,,,,
0.7043119668960571,0.375,38,0,,,,
0.6934943199157715,0.5,39,0,,,,
0.6906112432479858,0.75,40,0,,,,
0.6918201446533203,0.625,41,0,,,,
0.6975256204605103,0.375,42,0,,,,
0.6961148977279663,0.4375,43,0,,,,
0.6932762265205383,0.5,44,0,,,,
0.6937341094017029,0.5,45,0,,,,
0.7120634317398071,0.25,46,0,,,,
0.6937470436096191,0.5,47,0,,,,
0.690163791179657,0.5625,48,0,,,,
0.6837528944015503,0.6875,49,0,,,,
0.7006332874298096,0.375,50,0,,,,
0.6895066499710083,0.5625,51,0,,,,
0.6936098337173462,0.5,52,0,,,,
0.6977332830429077,0.375,53,0,,,,
0.6914905309677124,0.5625,54,0,,,,
0.6938887238502502,0.4375,55,0,,,,
0.6929428577423096,0.5625,56,0,,,,
0.6996620893478394,0.3125,57,0,,,,
0.6935858726501465,0.5,58,0,,,,
0.6905008554458618,0.5625,59,0,,,,
0.6977354288101196,0.4375,60,0,,,,
0.7029974460601807,0.375,61,0,,,,
0.6895880699157715,0.5625,62,0,,,,
0.6895750164985657,0.5625,63,0,,,,
0.6871099472045898,0.625,64,0,,,,
0.6935780644416809,0.5,65,0,,,,
0.6907235383987427,0.5625,66,0,,,,
0.6798495054244995,0.8125,67,0,,,,
0.6972723007202148,0.4375,68,0,,,,
0.7027080059051514,0.375,69,0,,,,
0.7061402797698975,0.3125,70,0,,,,
0.6841152310371399,0.6875,71,0,,,,
0.6932947635650635,0.5,72,0,,,,
0.6948151588439941,0.4375,73,0,,,,
0.6942663192749023,0.3125,74,0,,,,
0.6953049898147583,0.4375,75,0,,,,
0.690032958984375,0.5625,76,0,,,,
0.698978841304779,0.4285714328289032,77,0,,,,
,,77,0,0.6928653717041016,0.490680992603302,,
0.6886079907417297,0.5625,78,1,,,,
0.7005906105041504,0.4375,79,1,,,,
0.6674421429634094,0.75,80,1,,,,
0.6798052191734314,0.625,81,1,,,,
0.6710910201072693,0.6875,82,1,,,,
0.7145198583602905,0.375,83,1,,,,
0.696102499961853,0.5,84,1,,,,
0.695877194404602,0.5,85,1,,,,
0.6777662038803101,0.625,86,1,,,,
0.6706031560897827,0.6875,87,1,,,,
0.7030032277107239,0.4375,88,1,,,,
0.7022305727005005,0.4375,89,1,,,,
0.7016062140464783,0.4375,90,1,,,,
0.6878724694252014,0.5625,91,1,,,,
0.6817641854286194,0.625,92,1,,,,
0.6878320574760437,0.5625,93,1,,,,
0.6945799589157104,0.5,94,1,,,,
0.6820201873779297,0.625,95,1,,,,
0.6812532544136047,0.625,96,1,,,,
0.6879538297653198,0.5625,97,1,,,,
0.6874272227287292,0.5625,98,1,,,,
0.6799852848052979,0.625,99,1,,,,
0.686947226524353,0.5625,100,1,,,,
0.7037733793258667,0.4375,101,1,,,,
0.6786283254623413,0.625,102,1,,,,
0.7143805623054504,0.375,103,1,,,,
0.7142093181610107,0.375,104,1,,,,
0.7324052453041077,0.25,105,1,,,,
0.6630464792251587,0.75,106,1,,,,
0.679986834526062,0.625,107,1,,,,
0.6804765462875366,0.625,108,1,,,,
0.7010035514831543,0.4375,109,1,,,,
0.7007107734680176,0.4375,110,1,,,,
0.6943075060844421,0.5,111,1,,,,
0.6941592693328857,0.5,112,1,,,,
0.6941529512405396,0.5,113,1,,,,
0.6908279657363892,0.5625,114,1,,,,
0.7046696543693542,0.25,115,1,,,,
0.6995143890380859,0.3125,116,1,,,,
0.6922093629837036,0.625,117,1,,,,
0.6889001727104187,0.6875,118,1,,,,
